labels,category
Accelerating_and_revving_and_vroom,Vehicles
Accordion,Musical_instuments
Acoustic_guitar,Musical_instuments
Applause,Human_sounds
Bark,Animal_sounds
Bass_drum,Musical_instuments
Bass_guitar,Musical_instuments
Bathtub_(filling_or_washing),Domestic_sounds
Bicycle_bell,Vehicles
Burping_and_eructation,Human_sounds
Bus,Vehicles
Buzz,Animal_sounds
Car_passing_by,Vehicles
Cheering,Human_sounds
Chewing_and_mastication,Human_sounds
Child_speech_and_kid_speaking,Human_sounds
Chink_and_clink,Materials
Chirp_and_tweet,Animal_sounds
Church_bell,Musical_instuments
Clapping,Human_sounds
Computer_keyboard,Domestic_sounds
Crackle,Natural_sounds
Cricket,Animal_sounds
Crowd,Human_sounds
Cupboard_open_or_close,Domestic_sounds
Cutlery_and_silverware,Domestic_sounds
Dishes_and_pots_and_pans,Domestic_sounds
Drawer_open_or_close,Domestic_sounds
Drip,Materials
Electric_guitar,Musical_instuments
Fart,Human_sounds
Female_singing,Human_sounds
Female_speech_and_woman_speaking,Human_sounds
Fill_(with_liquid),Materials
Finger_snapping,Human_sounds
Frying_(food),Domestic_sounds
Gasp,Human_sounds
Glockenspiel,Musical_instuments
Gong,Musical_instuments
Gurgling,Natural_sounds
Harmonica,Musical_instuments
Hi-hat,Musical_instuments
Hiss,Animal_sounds
Keys_jangling,Domestic_sounds
Knock,Domestic_sounds
Male_singing,Human_sounds
Male_speech_and_man_speaking,Human_sounds
Marimba_and_xylophone,Musical_instuments
Mechanical_fan,Mechanismsd
Meow,Animal_sounds
Microwave_oven,Domestic_sounds
Motorcycle,Vehicles
Printer,Mechanismsd
Purr,Animal_sounds
Race_car_and_auto_racing,Vehicles
Raindrop,Natural_sounds
Run,Human_sounds
Scissors,Domestic_sounds
Screaming,Human_sounds
Shatter,Materials
Sigh,Human_sounds
Sink_(filling_or_washing),Domestic_sounds
Skateboard,Vehicles
Slam,Domestic_sounds
Sneeze,Human_sounds
Squeak,Domestic_sounds
Stream,Natural_sounds
Strum,Musical_instuments
Tap,Domestic_sounds
Tick-tock,Domestic_sounds
Toilet_flush,Domestic_sounds
Traffic_noise_and_roadway_noise,Vehicles
Trickle_and_dribble,Materials
Walk_and_footsteps,Human_sounds
Water_tap_and_faucet,Domestic_sounds
Waves_and_surf,Natural_sounds
Whispering,Human_sounds
Writing,Domestic_sounds
Yell,Human_sounds
Zipper_(clothing),Domestic_sounds
